user_id,movie_id,rating
6272,4874,3.5
7506,165,4
71041,160,5
39505,46976,3
45715,2375,4
28832,2239,4
4939,2944,4.5
19284,7369,2.5
17600,5151,3
53601,1204,5
59947,1953,4.5
8930,48791,3
35236,2700,4
27580,2352,4
8811,4631,2
617,588,4
15595,2470,2.5
43676,830,4
65738,2987,3
19191,351,4
67385,514,3.5
17660,2183,5
42371,377,3
57464,1284,5
64100,145,4
66519,3740,3.5
42566,2728,3.5
57812,104,3
26795,1967,1.5
24836,1772,1
36507,17,5
59769,656,3
69035,3752,2
42703,1627,4
32298,4015,3.5
3200,1573,3
66134,2959,4.5
8365,2805,3
28917,454,3
13203,339,3
30687,1246,4.5
51010,2140,2
11858,1079,3.5
15619,4514,4
22094,3950,4
29045,235,3
10245,3723,3
16928,5553,2.5
32035,26770,4
31148,2542,4
14382,377,4
24207,50,4.5
46497,1036,3.5
69283,3967,4
58867,3174,5
30285,362,3.5
21677,2617,3
17751,2108,5
23805,5969,3.5
59752,3471,4
15466,3385,3
32634,1193,5
215,4350,4
66398,1707,1
55006,338,3
37280,3264,3
41048,1252,5
5330,25,5
42900,923,5
58256,506,2
26914,485,3
36285,1221,4.5
46034,432,3
69898,1,1
70831,1214,4
30008,3489,2
69982,539,5
19612,112,5
6919,1097,1
68892,1207,3
64398,2517,3
40923,2363,2
36609,1377,3
12425,8784,4
88,673,5
28446,2231,3.5
12406,1923,3
27468,2144,4
30027,785,4
56299,5902,3
65116,3686,3
36475,150,4
61875,2002,3
24775,6500,3
59994,1265,4.5
1820,344,1
12671,1079,3
61728,2533,3
37664,2268,4
37636,153,3
27869,2352,4
55882,4103,3
12437,1569,5
53389,3767,2
67471,3108,3
24781,150,4
13927,1091,3.5
26918,314,3
7173,647,4
55608,27772,4
52030,4975,4
49763,2859,5
33860,2253,4
22198,4973,4
39654,1682,5
14866,2762,4
13272,292,2
15553,41,4
45160,377,2
60580,3545,5
36774,48783,3.5
32910,3893,4.5
21540,7981,3.5
38844,329,3
55399,1527,3.5
19291,541,4.5
21944,904,5
33372,246,5
16245,1203,5
29849,1079,4
11869,1207,4
39914,4046,4
60901,5110,2.5
13017,1028,5
36837,1610,3
7791,21,4
19775,3082,3
9819,1304,4
13526,3753,5
63235,207,3
61129,60,3
42940,356,4
30879,2,4.5
59779,33493,4
47777,608,5
53354,1291,3.5
40837,1610,4
11760,2657,2
10917,410,2.5
53847,2841,4
36442,589,5
59255,1689,3
5955,27618,1.5
44864,3996,5
37037,1967,4
27516,490,3
62522,3451,4.5
54274,52722,3.5
31796,382,4
50893,3219,3.5
67833,1213,5
60424,1234,4
17797,1344,4
65949,2433,4
36558,1945,3
32350,353,4
8718,62,4
46300,3689,2
52592,30812,4
29573,1,3
53038,1250,2
38662,1912,4
48534,25940,4.5
